Vârdformu skaits:	52
Vârdlietojumu skaits:	59


4	Grahmatas
2	APOCRYPHA
2	Gabbali
2	pee
2	un
1	Bahruks
1	bey
1	Buchdrucker
1	Danijeïa
1	DC
1	Deewa
1	derrigas
1	E§teres
1	Gedruckt
1	Georg
1	Grahmata
1	Gudribas
1	I
1	II
1	III
1	irr
1	irraid
1	IV
1	Jahr
1	Jm
1	Johann
1	Juhdite
1	Kas
1	Königl
1	labbi
1	laúúamas
1	lihd§i
1	LXXXIX
1	M
1	Makkabee#ºu
1	ne
1	Rak§teem
1	RJGA
1	Sihraks
1	úwehteem
1	Ta
1	Tee
1	teem
1	To
1	Tobijus
1	tomehr
1	turramas
1	V
1	VI
1	VII
1	VIII
1	Wilcken
